Table 2.1. Personal Income and Its Disposition
Table 2.1. Personal Income and Its Disposition
"Last Revised on: September 26, 2024 - Next Release Date October 30, 2024"
36,"    Personal income excluding current transfer receipts, billions of chained (2017) dollars5",15405.1,15335.7,15527.7,15568.4,15702.4,15816.0,15923.6,16078.6,16243.2,16344.4
,"    Disposable personal income:",,,,,,,,,,
37,"        Total, billions of chained (2017) dollars5",16116.8,16042.8,16302.0,16452.9,16885.3,17025.2,17082.8,17216.5,17451.8,17554.2
,"        Per capita:",,,,,,,,,,
38,"            Current dollars",54966,55669,57151,58175,60222,61088,61612,62257,63569,64269
39,"            Chained (2017) dollars",48400,48130,48843,49230,50472,50832,50928,51251,51892,52137
40,"    Population (midperiod, thousands)6",332991,333320,333762,334201,334547,334934,335430,335923,336308,336692
,"    Percent change from preceding period:",,,,,,,,,,
41,"        Disposable personal income, current dollars",-4.0,5.6,11.7,7.9,15.3,6.4,4.1,4.9,9.2,5.0
42,"        Personal outlays, current dollars",8.7,10.7,7.4,6.5,9.3,4.9,6.2,5.1,5.3,5.6
43,"        Disposable personal income, chained (2017) dollars",-10.9,-1.8,6.6,3.8,10.9,3.4,1.4,3.2,5.6,2.4

Legend/Footnotes
1. Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period.
"2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund."
3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.
4. Consists of nonmortgage interest paid by households.  Note that mortgage interest paid by households is an expense item in the calculation of rental income of persons.
5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.
"6. Population is the total population of the United States, including the Armed Forces overseas and the institutionalized population. The monthly estimate is the average of estimates for the first of the month and the first of the following month; the annual and quarterly estimates are averages of the monthly estimates."
